rank,team,rank_change_since_previous,points,ranking_date
1,France,2,1877.32,2026-04-01
2,Spain,-1,1876.40,2026-04-01
3,Argentina,-1,1874.81,2026-04-01
4,England,0,1825.97,2026-04-01
5,Portugal,1,1763.83,2026-04-01
6,Brazil,-1,1761.16,2026-04-01
7,Netherlands,0,1757.87,2026-04-01
8,Morocco,0,1755.87,2026-04-01
9,Belgium,0,1734.71,2026-04-01
10,Germany,0,1730.37,2026-04-01
11,Croatia,0,1717.07,2026-04-01
12,Italy,1,1700.37,2026-04-01
13,Colombia,1,1693.09,2026-04-01
14,Senegal,-2,1688.99,2026-04-01
15,Mexico,1,1681.03,2026-04-01
16,USA,-1,1673.13,2026-04-01
17,Uruguay,0,1673.07,2026-04-01
18,Japan,1,1660.43,2026-04-01
19,Switzerland,-1,1649.40,2026-04-01
20,Denmark,1,1620.81,2026-04-01
21,IR Iran,-1,1615.30,2026-04-01
22,Türkiye,3,1599.04,2026-04-01
23,Ecuador,0,1594.78,2026-04-01
24,Austria,0,1593.45,2026-04-01
25,Korea Republic,-3,1588.66,2026-04-01
26,Nigeria,0,1585.09,2026-04-01
27,Australia,0,1580.67,2026-04-01
28,Algeria,0,1564.26,2026-04-01
29,Egypt,2,1563.24,2026-04-01
30,Canada,-1,1556.48,2026-04-01
31,Norway,1,1550.94,2026-04-01
32,Ukraine,-2,1546.88,2026-04-01
33,Panama,0,1540.64,2026-04-01
34,Côte d'Ivoire,3,1532.98,2026-04-01
35,Poland,-1,1528.00,2026-04-01
36,Russia,0,1525.60,2026-04-01
37,Wales,-2,1524.29,2026-04-01
38,Sweden,4,1514.77,2026-04-01
39,Serbia,0,1508.65,2026-04-01
40,Paraguay,0,1503.50,2026-04-01
41,Czechia,2,1501.38,2026-04-01
42,Hungary,-1,1500.58,2026-04-01
43,Scotland,-5,1498.35,2026-04-01
44,Tunisia,3,1483.05,2026-04-01
45,Cameroon,0,1481.24,2026-04-01
46,Congo DR,2,1478.35,2026-04-01
47,Greece,-1,1475.82,2026-04-01
48,Slovakia,-4,1473.94,2026-04-01
49,Venezuela,1,1468.05,2026-04-01
50,Uzbekistan,2,1465.34,2026-04-01
51,Costa Rica,0,1459.90,2026-04-01
52,Mali,2,1459.13,2026-04-01
53,Peru,0,1455.87,2026-04-01
54,Chile,1,1455.28,2026-04-01
55,Qatar,1,1454.96,2026-04-01
56,Romania,-7,1451.16,2026-04-01
57,Iraq,1,1447.14,2026-04-01
58,Slovenia,-1,1446.44,2026-04-01
59,Republic of Ireland,0,1436.63,2026-04-01
60,South Africa,0,1429.73,2026-04-01
61,Saudi Arabia,0,1421.43,2026-04-01
62,Burkina Faso,0,1412.49,2026-04-01
63,Jordan,1,1391.45,2026-04-01
64,Albania,-1,1388.06,2026-04-01
65,Bosnia and Herzegovina,6,1385.84,2026-04-01
66,Honduras,-1,1380.27,2026-04-01
67,North Macedonia,-1,1372.04,2026-04-01
68,United Arab Emirates,0,1370.47,2026-04-01
69,Cabo Verde,-2,1366.13,2026-04-01
70,Northern Ireland,-1,1362.16,2026-04-01
71,Jamaica,-1,1358.00,2026-04-01
72,Georgia,1,1350.18,2026-04-01
73,Finland,2,1346.41,2026-04-01
74,Ghana,-2,1346.31,2026-04-01
75,Iceland,-1,1345.07,2026-04-01
76,Bolivia,0,1329.42,2026-04-01
77,Israel,0,1328.33,2026-04-01
78,Kosovo,1,1318.83,2026-04-01
79,Oman,-1,1313.46,2026-04-01
80,Guinea,0,1300.01,2026-04-01
81,Montenegro,1,1295.52,2026-04-01
82,Curaçao,-1,1294.65,2026-04-01
83,Haiti,0,1291.71,2026-04-01
84,Syria,0,1288.56,2026-04-01
85,Aotearoa New Zealand,0,1281.57,2026-04-01
86,Bulgaria,1,1278.90,2026-04-01
87,Gabon,-1,1272.51,2026-04-01
88,Uganda,0,1264.09,2026-04-01
89,Angola,0,1263.10,2026-04-01
90,Benin,2,1258.98,2026-04-01
91,Bahrain,-1,1258.53,2026-04-01
92,Zambia,-1,1255.82,2026-04-01
93,Thailand,3,1252.14,2026-04-01
94,China PR,-1,1251.60,2026-04-01
95,Palestine,0,1244.73,2026-04-01
96,Guatemala,-2,1243.47,2026-04-01
97,Belarus,1,1235.82,2026-04-01
98,Luxembourg,4,1227.77,2026-04-01
99,Vietnam,9,1225.68,2026-04-01
100,El Salvador,-1,1225.26,2026-04-01
101,Mozambique,0,1224.31,2026-04-01
102,Trinidad and Tobago,-5,1222.94,2026-04-01
103,Tajikistan,-3,1221.78,2026-04-01
104,Madagascar,0,1203.76,2026-04-01
105,Equatorial Guinea,2,1195.20,2026-04-01
106,Armenia,-1,1191.42,2026-04-01
107,Kyrgyz Republic,-4,1191.14,2026-04-01
108,Lebanon,1,1187.96,2026-04-01
109,Comoros,-3,1187.91,2026-04-01
110,Kazakhstan,4,1182.96,2026-04-01
111,Kenya,2,1182.23,2026-04-01
112,Libya,0,1182.08,2026-04-01
113,Tanzania,-3,1180.27,2026-04-01
114,Niger,-3,1179.66,2026-04-01
115,Mauritania,0,1170.72,2026-04-01
116,The Gambia,0,1160.38,2026-04-01
117,Sudan,0,1157.22,2026-04-01
118,Korea DPR,1,1151.05,2026-04-01
119,Sierra Leone,1,1148.98,2026-04-01
120,Namibia,-2,1148.84,2026-04-01
121,Togo,3,1147.31,2026-04-01
122,Indonesia,0,1144.88,2026-04-01
123,Faroe Islands,2,1137.14,2026-04-01
124,Azerbaijan,3,1136.67,2026-04-01
125,Suriname,-2,1132.43,2026-04-01
126,Cyprus,2,1128.33,2026-04-01
127,Malawi,-1,1128.03,2026-04-01
128,Rwanda,2,1126.62,2026-04-01
129,Estonia,0,1121.10,2026-04-01
130,Zimbabwe,2,1118.12,2026-04-01
131,Nicaragua,0,1115.13,2026-04-01
132,Guinea-Bissau,1,1108.38,2026-04-01
133,Congo,1,1105.96,2026-04-01
134,Kuwait,1,1105.10,2026-04-01
135,Philippines,1,1094.10,2026-04-01
136,India,5,1091.03,2026-04-01
137,Latvia,2,1090.57,2026-04-01
138,Malaysia,-17,1086.22,2026-04-01
139,Central African Republic,-1,1083.57,2026-04-01
140,Liberia,0,1079.02,2026-04-01
141,Turkmenistan,-4,1078.65,2026-04-01
142,Burundi,3,1078.01,2026-04-01
143,Dominican Republic,-1,1077.95,2026-04-01
144,Ethiopia,3,1071.55,2026-04-01
145,Lesotho,-2,1067.13,2026-04-01
146,Botswana,-2,1063.63,2026-04-01
147,Singapore,1,1059.53,2026-04-01
148,Lithuania,-2,1058.42,2026-04-01
149,Yemen,0,1049.49,2026-04-01
150,Guyana,1,1049.32,2026-04-01
151,New Caledonia,-1,1036.95,2026-04-01
152,St Kitts and Nevis,2,1036.33,2026-04-01
153,Solomon Islands,-1,1031.89,2026-04-01
154,Fiji,1,1029.70,2026-04-01
155,"Hong Kong, China",-2,1026.63,2026-04-01
156,Puerto Rico,0,1026.11,2026-04-01
157,Tahiti,0,1019.04,2026-04-01
158,Myanmar,5,1011.88,2026-04-01
159,Moldova,-1,1004.16,2026-04-01
160,Vanuatu,0,997.01,2026-04-01
161,Malta,0,987.73,2026-04-01
162,Antigua and Barbuda,3,986.58,2026-04-01
163,Grenada,1,982.57,2026-04-01
164,Cuba,2,981.42,2026-04-01
165,Eswatini,-6,979.01,2026-04-01
166,Bermuda,3,976.87,2026-04-01
167,St Lucia,0,976.71,2026-04-01
168,Papua New Guinea,2,974.90,2026-04-01
169,Afghanistan,-7,972.75,2026-04-01
170,South Sudan,-2,970.94,2026-04-01
171,St Vincent and the Grenadines,0,968.27,2026-04-01
172,Maldives,1,954.93,2026-04-01
173,Andorra,-1,945.34,2026-04-01
174,Chinese Taipei,0,923.78,2026-04-01
175,Montserrat,0,916.75,2026-04-01
176,Nepal,6,914.54,2026-04-01
177,Cambodia,2,911.54,2026-04-01
178,Mauritius,-2,911.49,2026-04-01
179,Barbados,-1,909.89,2026-04-01
180,Belize,1,907.00,2026-04-01
181,Bangladesh,-1,899.53,2026-04-01
182,Dominica,1,897.69,2026-04-01
183,Chad,-6,896.65,2026-04-01
184,Eritrea,0,887.06,2026-04-01
185,Laos,5,885.03,2026-04-01
186,Bhutan,6,880.55,2026-04-01
187,Mongolia,-2,879.75,2026-04-01
188,Cook Islands,-2,877.53,2026-04-01
189,Aruba,2,877.30,2026-04-01
190,Samoa,-3,876.41,2026-04-01
191,Sri Lanka,3,871.82,2026-04-01
192,American Samoa,-8,871.61,2026-04-01
193,Brunei Darussalam,-5,863.09,2026-04-01
194,Macau,-1,858.03,2026-04-01
195,Cayman Islands,0,855.45,2026-04-01
196,São Tomé and Príncipe,-7,855.44,2026-04-01
197,Djibouti,-1,853.58,2026-04-01
198,Somalia,2,839.17,2026-04-01
199,Tonga,-2,835.64,2026-04-01
200,Timor-Leste,-2,825.64,2026-04-01
201,Guam,0,825.43,2026-04-01
202,Pakistan,-3,824.60,2026-04-01
203,Gibraltar,-1,810.14,2026-04-01
204,Seychelles,-1,804.16,2026-04-01
205,Turks and Caicos Islands,-1,803.98,2026-04-01
206,Liechtenstein,-1,803.57,2026-04-01
207,Bahamas,-1,786.82,2026-04-01
208,British Virgin Islands,0,782.14,2026-04-01
209,US Virgin Islands,-2,779.76,2026-04-01
210,Anguilla,-1,760.25,2026-04-01
211,San Marino,-1,726.33,2026-04-01
